Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"9,050",
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,720",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,460",
SURVEY,2018,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,620",
SURVEY,2017,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,410",
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,840",
SURVEY,2015,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,890",
SURVEY,2014,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,580",
SURVEY,2013,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,480",
SURVEY,2012,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,150",
SURVEY,2011,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,350",
SURVEY,2010,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,020",
SURVEY,2009,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,600",
SURVEY,2008,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,320",
SURVEY,2007,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"8,200",
