Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.86,
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,2.08,
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.79,
SURVEY,2018,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.94,
SURVEY,2017,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.88,
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,2.19,
SURVEY,2015,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,2.02,
SURVEY,2014,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.97,
SURVEY,2013,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.76,
SURVEY,2012,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.84,
SURVEY,2011,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.74,
SURVEY,2010,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.98,
SURVEY,2009,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.82,
SURVEY,2008,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.9,
SURVEY,2007,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WALNUTS,"WALNUTS, ENGLISH, UTILIZED, IN SHELL - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.5,
